,Laptops,product_price,offer
0,Hp Core I3 11Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home),"<span class=""p_price"">₹42,675                                    </span>","<span class=""prd_discount"">15% Off</span>"
1,Asus Vivobook Flip 14 Core I3 11Th Gen - (8 Gb/512 Gb S,"<span class=""p_price"">₹54,990                                    </span>","<span class=""prd_discount"">19% Off</span>"
2,Lenovo Thinkbook 15 Core I3 11Th Gen - (8 Gb/512 Gb Ssd,"<span class=""p_price"">₹53,990                                    </span>","<span class=""prd_discount"">8% Off</span>"
3,Lenovo Ideapad Slim 3I (2021) Core I3 10Th Gen - (8 Gb/,"<span class=""p_price"">₹59,999                                    </span>","<span class=""prd_discount""></span>"
4,Lenovo Ideapad Gaming 3 Core I5 11Th Gen - (8 Gb/512 Gb,"<span class=""p_price"">₹93,690                                    </span>","<span class=""prd_discount""></span>"
5,Lenovo Ideapad 3 Core I3 11Th Gen - (8 Gb/512 Gb Ssd/Wi,"<span class=""p_price"">₹64,490                                    </span>","<span class=""prd_discount""></span>"
6,Dell G15 Core I5 10Th Gen - (16 Gb/512 Gb Ssd/Windows 1,"<span class=""p_price"">₹79,990                                    </span>","<span class=""prd_discount"">22% Off</span>"
7,Lenovo Ideapad 3 Core I3 11Th Gen - (8 Gb/256 Gb Ssd/Wi,"<span class=""p_price"">₹41,490                                    </span>","<span class=""prd_discount"">17% Off</span>"
8,Dell Inspiron Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Wind,"<span class=""p_price"">₹89,890                                    </span>","<span class=""prd_discount"">18% Off</span>"
9,Dell Inspiron 3511 Core I3 11Th Gen - (8 Gb/1 Tb Hdd/25,"<span class=""p_price"">₹48,990                                    </span>","<span class=""prd_discount"">19% Off</span>"
10,Hp Core I5 11Th Gen - (8 Gb/512 Gb Ssd/Windows 11 Home/,"<span class=""p_price"">₹64,990                                    </span>","<span class=""prd_discount"">11% Off</span>"
11,Dell Inspiron Core I5 11Th Gen - (8 Gb/1 Tb Hdd/256 Gb ,"<span class=""p_price"">₹61,970                                    </span>","<span class=""prd_discount"">17% Off</span>"
12,Dell 3511 Core I5 11Th Gen - (8 Gb/1 Tb Hdd/256 Gb Ssd/,"<span class=""p_price"">₹69,900                                    </span>","<span class=""prd_discount"">20% Off</span>"
13,Dell G15 Core I7 11Th Gen - (16 Gb/512 Gb Ssd/Windows 1,"<span class=""p_price"">₹103,990                                    </span>","<span class=""prd_discount""></span>"
14,Hp Pavilion Core I5 12Th Gen - (8 Gb/512 Gb Ssd/Windows,"<span class=""p_price"">₹66,190                                    </span>","<span class=""prd_discount"">11% Off</span>"
15,Hp Pavilion X360 Convertible Core I5 11Th Gen - (16 Gb/,"<span class=""p_price"">₹75,190                                    </span>","<span class=""prd_discount"">5% Off</span>"
16,Dell Core I7 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 Ho,"<span class=""p_price"">₹99,990                                    </span>","<span class=""prd_discount"">22% Off</span>"
17,Hp 250 G8 Core I5 10Th Gen - (8 Gb/512 Gb Ssd/Windows 1,"<span class=""p_price"">₹66,500                                    </span>","<span class=""prd_discount"">13% Off</span>"
18,Dell Inspiron Core I7 11Th Gen - (16 Gb/1 Tb Ssd/Window,"<span class=""p_price"">₹108,500                                    </span>","<span class=""prd_discount"">20% Off</span>"
19,Asus Zenbook Duo 14 (2021) Touch Panel Core I5 11Th Gen,"<span class=""p_price"">₹114,990                                    </span>","<span class=""prd_discount"">18% Off</span>"
20,Lenovo Legion 5 Pro Core I7 11Th Gen - (16 Gb/1 Tb Ssd/,"<span class=""p_price"">₹157,990                                    </span>","<span class=""prd_discount"">30% Off</span>"
21,Lenovo Ideapad Core I5 11Th Gen - (8 Gb/512 Gb Ssd/Wind,"<span class=""p_price"">₹89,790                                    </span>","<span class=""prd_discount""></span>"
22,Lenovo Core I5 11Th Gen - (16 Gb/512 Gb Ssd/Windows 11 ,"<span class=""p_price"">₹69,990                                    </span>","<span class=""prd_discount"">35% Off</span>"
23,Lenovo Ideapad Gaming 3I Core I7 11Th Gen - (8 Gb/512 G,"<span class=""p_price"">₹118,890                                    </span>","<span class=""prd_discount""></span>"
